DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.807,0.8625, -442.409500807*(x-0.807)*(x-0.807)*(x-0.807)+36.8305909422*(x-0.807)*(x-0.807)+0.0*(x-0.807)+0.955642580986023
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.8625,0.9179999999999999, 937.494436626*(x-0.8625)*(x-0.8625)*(x-0.8625)-78.0464118491*(x-0.8625)*(x-0.8625)+0.0*(x-0.8625)+0.9934583902359009
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.9179999999999999,0.978, 2.75754266315*(x-0.918)*(x-0.918)*(x-0.918)+0.0*(x-0.918)*(x-0.918)+0.0*(x-0.918)+0.913324236869812
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.978,1.1, 0.913919866085
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,-15.0,0.0, 0.936045050621
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.0,0.0795, 1.21708405018
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.0795,0.1905, 13.4912135352*(x-0.0795)*(x-0.0795)*(x-0.0795)-4.90861710531*(x-0.0795)*(x-0.0795)+0.0*(x-0.0795)+1.2170840501785278
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.1905,0.2535, 234.306796952*(x-0.1905)*(x-0.1905)*(x-0.1905)-22.9647613026*(x-0.1905)*(x-0.1905)-0.591037271477*(x-0.1905)+1.175055980682373
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.2535,0.314, 87.69901824*(x-0.2535)*(x-0.2535)*(x-0.2535)-2.21731264667*(x-0.2535)*(x-0.2535)-0.694706164292*(x-0.2535)+1.105261206626892
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.314,0.3715, -767.672474406*(x-0.314)*(x-0.314)*(x-0.314)+66.2117509175*(x-0.314)*(x-0.314)+0.0*(x-0.314)+1.0745360851287842
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.3715,0.4315, 509.427653419*(x-0.3715)*(x-0.3715)*(x-0.3715)-45.8484888077*(x-0.3715)*(x-0.3715)+0.0*(x-0.3715)+1.1475069522857666
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.4315,0.4935, -380.34649983*(x-0.4315)*(x-0.4315)*(x-0.4315)+35.3722244842*(x-0.4315)*(x-0.4315)+0.0*(x-0.4315)+1.0924887657165527
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.4935,0.5529999999999999, 210.690638659*(x-0.4935)*(x-0.4935)*(x-0.4935)-18.8041395003*(x-0.4935)*(x-0.4935)+0.0*(x-0.4935)+1.1378123760223389
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.5529999999999999,0.6105, -4.59632299779*(x-0.553)*(x-0.553)*(x-0.553)+0.396432858559*(x-0.553)*(x-0.553)+0.0*(x-0.553)+1.1156219244003296
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.6105,0.6685, 1216.38724429*(x-0.6105)*(x-0.6105)*(x-0.6105)-105.825690254*(x-0.6105)*(x-0.6105)+0.0*(x-0.6105)+1.1160588264465332
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.6685,0.7255, -649.94884951*(x-0.6685)*(x-0.6685)*(x-0.6685)+55.5706266331*(x-0.6685)*(x-0.6685)+0.0*(x-0.6685)+0.9973929524421692
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.7255,0.7805, 89.4520315068*(x-0.7255)*(x-0.7255)*(x-0.7255)-13.5336688436*(x-0.7255)*(x-0.7255)+0.0*(x-0.7255)+1.0575759410858154
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.7805,0.8340000000000001, 461.557223555*(x-0.7805)*(x-0.7805)*(x-0.7805)-34.0417957581*(x-0.7805)*(x-0.7805)-0.676926386874*(x-0.7805)+1.0315191745758057
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.8340000000000001,0.885, 25.4594798869*(x-0.834)*(x-0.834)*(x-0.834)+1.54374237329*(x-0.834)*(x-0.834)-0.356122043633*(x-0.834)+0.9685459136962891
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.885,0.934, -186.864809473*(x-0.885)*(x-0.885)*(x-0.885)+13.7345634963*(x-0.885)*(x-0.885)+0.0*(x-0.885)+0.9577761888504028
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.934,0.9840000000000001, 164.135467389*(x-0.934)*(x-0.934)*(x-0.934)-29.3659931113*(x-0.934)*(x-0.934)+0.0*(x-0.934)+0.9687684178352356
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.9840000000000001,1.1, 0.915870368481
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,-15.0,0.0, 1.06011652946
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.0,0.0895, 1.24410629272
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.0895,0.2105, 0.879431380204*(x-0.0895)*(x-0.0895)*(x-0.0895)-2.27219996776*(x-0.0895)*(x-0.0895)+0.0*(x-0.0895)+1.2441062927246094
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.2105,0.2735, 991.500417481*(x-0.2105)*(x-0.2105)*(x-0.2105)-89.6392884385*(x-0.2105)*(x-0.2105)-0.511245127685*(x-0.2105)+1.2123969793319702
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.2735,0.335, -48.3482021897*(x-0.2735)*(x-0.2735)*(x-0.2735)+8.84744055498*(x-0.2735)*(x-0.2735)+0.0*(x-0.2735)+1.0723319053649902
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.335,0.395, -437.661553672*(x-0.335)*(x-0.335)*(x-0.335)+34.892537955*(x-0.335)*(x-0.335)+0.539640225067*(x-0.335)+1.0945489406585693
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.395,0.455, 90.8612336201*(x-0.395)*(x-0.395)*(x-0.395)-13.8612602349*(x-0.395)*(x-0.395)+0.0*(x-0.395)+1.1580055952072144
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.455,0.515, 395.046915493*(x-0.455)*(x-0.455)*(x-0.455)-29.8704731853*(x-0.455)*(x-0.455)-0.682049905088*(x-0.455)+1.1277310848236084
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.515,0.5745, -131.646703267*(x-0.515)*(x-0.515)*(x-0.515)+11.7494682666*(x-0.515)*(x-0.515)+0.0*(x-0.515)+1.0646045207977295
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.5745,0.6325, 16.980343005*(x-0.5745)*(x-0.5745)*(x-0.5745)-3.53517325648*(x-0.5745)*(x-0.5745)+0.0*(x-0.5745)+1.0784698724746704
3, iterativefit, down_hfstats2,0,0.0,2.5,70.0,100.0,0.6325,0.6905, 296.550786105*(x-0.6325)*(x-0.6325)*(x-0.6325)-23.7420349761*(x-0.6325)*(x-0.6325)-0.238714476145*(x-0.6325)+1.0698906183242798
